created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Nov 07 15:05:08 +0000 2023;1721906637563478218;"Otorita IKN himpun dukungan internasional untuk pembangunan https://t.co/UtpbisMKpX";0;0;0;0;in;1203876160469266433;1721906637563478218;antarabiz;https://twitter.com/antarabiz/status/1721906637563478218
Tue Nov 07 14:32:11 +0000 2023;1721898345168584730;"Seno Aji Harap Kontraktor Kaltim Dilibatkan Pembangunan IKN Nusantara https://t.co/WwzTlVT5pN";0;0;0;0;in;1256110480994656256;1721898345168584730;pranaladotco;https://twitter.com/pranaladotco/status/1721898345168584730
Tue Nov 07 14:00:37 +0000 2023;1721890402121458130;"Ada masalah serius yang tak terpotret dari pembangunan IKN, yakni banyak warga yang kehilangan lahan dan rumah sendiri, dan tak ada pengganti. https://t.co/WU19oCkrd9";13;6;57;66;in;23343960;1721890402121458130;kompascom;https://twitter.com/kompascom/status/1721890402121458130
Tue Nov 07 12:54:41 +0000 2023;1721873806674063499;"@jogmfs Cerita cerita , sambat, julid, ngomongin teori evolusi, ngerencanain pemilu 2024, rapat koordinasi pembangunan IKN, mungkin ada lagi?";0;2;0;0;in;1543391872390860800;1721873014953034193;SecretRegalia;https://twitter.com/SecretRegalia/status/1721873806674063499
Tue Nov 07 12:21:07 +0000 2023;1721865361824657809;"Dukungan PBB terhadap pembangunan IKN ditandai Declaration of Intent bersama OIKN. Di masa depan, IKN akan menjadi laboratorium hidup. https://t.co/DLp8g0rIEg";0;0;0;0;in;238091066;1721865361824657809;InvestorID;https://twitter.com/InvestorID/status/1721865361824657809
Tue Nov 07 12:14:29 +0000 2023;1721863693586350575;"Era baru pembangunan infrastruktur berkelanjutan, Pemerintah terus melanjutkan Proyek Strategis Nasional untuk pembangunan inklusif di Indonesia. #IKN #Infrastruktur #PSN #IndonesiaMaju #IndonesiaEmas #IKNNusantara https://t.co/OBjqHQvLKN";0;0;0;0;in;1481357801163493377;1721863693586350575;infosemar3;https://twitter.com/infosemar3/status/1721863693586350575
Tue Nov 07 12:14:25 +0000 2023;1721863674359623749;"Era baru pembangunan infrastruktur berkelanjutan, Pemerintah terus melanjutkan Proyek Strategis Nasional untuk pembangunan inklusif di Indonesia. #IKN #Infrastruktur #PSN #IndonesiaMaju #IndonesiaEmas #IKNNusantara https://t.co/ANa6ChQyxI";0;0;0;0;in;1481357801163493377;1721863674359623749;infosemar3;https://twitter.com/infosemar3/status/1721863674359623749
Tue Nov 07 12:14:19 +0000 2023;1721863652003958929;"Era baru pembangunan infrastruktur berkelanjutan, Pemerintah terus melanjutkan Proyek Strategis Nasional untuk pembangunan inklusif di Indonesia. #IKN #Infrastruktur #PSN #IndonesiaMaju #IndonesiaEmas #IKNNusantara https://t.co/1Q4s5HaeN4";0;0;0;0;in;1481357801163493377;1721863652003958929;infosemar3;https://twitter.com/infosemar3/status/1721863652003958929
Tue Nov 07 10:55:50 +0000 2023;1721843900879696013;"@ganjarpranowo saya dr indonesia timur sekeluarga akan pilih GM..... pasti 21 suara dlm keluarga kami, suara aman buat bapak @mohmahfudmd teruskan pembangunan IKN dan HILIRISASI SDM (tdk tertumpu pd SDA saja). Pertajam HUKUM dan HUKUMAN yg adil";0;0;0;0;in;1272813313693372416;1721843900879696013;Taqim35937476;https://twitter.com/Taqim35937476/status/1721843900879696013
Tue Nov 07 10:43:49 +0000 2023;1721840874987180043;"Pada 1 November 2023, Mayapada Hospital melakukan groundbreaking untuk pembangunan rumah sakit bertaraf internasional di IKN. Pertengahan 2024, Mayapada Hospital diharapkan sudah bisa melayani masyarakat.   Leaders Corner bersama Dato Sri Tahir (Owner Mayapada Group) dan Jonathan… https://t.co/W0jendrGi0";1;2;0;1;in;17128975;1721840874987180043;CNNIndonesia;https://twitter.com/CNNIndonesia/status/1721840874987180043
