created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Nov 07 16:34:43 +0000 2023;1721929181787996173;"@kompascom Dari sabang sampe merauke dah bnyk kasus bginian,, korban TOL, IKN, proyek, perkebunan,,   Ini Indonesia merdeka pa masih jmn VOC ireng?";0;0;0;0;in;808362055551987712;1721890402121458130;albyanrizieq;https://twitter.com/albyanrizieq/status/1721929181787996173
Tue Nov 07 16:34:27 +0000 2023;1721929114918215834;"Nyetir tengah malem di IKN is another level of "MEDENI CUK,Musuh e truck gede rawan nglondor"";0;0;0;0;in;601761908;1721929114918215834;satrioadiw_;https://twitter.com/satrioadiw_/status/1721929114918215834
Tue Nov 07 16:34:07 +0000 2023;1721929031967465682;"framingnya mulai muncul. IKN jadi kata kunci. yang melaporkan majalah Time (dikutip kompasTV), narasumbernya sosiolog dari universitas kenamaan di Singapura, dan dari Australia.   keberhasilan media-media internasional ngangkat isu itu jika banyak media lokal kompak mengutipnya.";0;0;0;2;in;68083793;1721929031967465682;blontankpoer;https://twitter.com/blontankpoer/status/1721929031967465682
Tue Nov 07 16:32:17 +0000 2023;1721928571529355388;"IKN masih proyek guys, buat yg ASN santai-santai dulu ngehhehehe, fyi aja disini sudah ada fiber optic alias jaringan internet seru bgt gali gali bisa sambil wifian";0;0;0;0;in;1464893671568855043;1721927092697481508;iwanttoeatf;https://twitter.com/iwanttoeatf/status/1721928571529355388
Tue Nov 07 16:27:08 +0000 2023;1721927272117235738;"@mkusumawijaya coba ty amdal ikn. dibuat sesuai aturan ato tidak.";0;0;0;0;in;1210505846553079808;1721693245829484651;djoniecash2;https://twitter.com/djoniecash2/status/1721927272117235738
Tue Nov 07 16:24:45 +0000 2023;1721926674517045442;"@BetaEpsilonPhi @PNS_Ababil tapi kalau dilihat dari pov lain, kayaknya terlalu banyak broker ya.  bahkan proyek yg sebesar ini tidak akan pernah dibatalkan meskipun tidak layak scr financial, mengingat banyak pejabat yg sudah beli tanah di sekitar IKN 🥲  GWS deh 🙏🏼";0;0;0;0;in;340180636;1721492352764887520;anf_alifa;https://twitter.com/anf_alifa/status/1721926674517045442
Tue Nov 07 16:24:13 +0000 2023;1721926540148252971;"Meng IKN https://t.co/tlxMC9fK2x";0;0;0;0;in;1464893671568855043;1721926540148252971;iwanttoeatf;https://twitter.com/iwanttoeatf/status/1721926540148252971
Tue Nov 07 16:24:18 +0000 2023;1721926559538504185;"@abcdefvcking14 Ke IKN";0;1;0;0;in;1682615970358235136;1721918361934921993;anotherjeyyy;https://twitter.com/anotherjeyyy/status/1721926559538504185
Tue Nov 07 16:23:58 +0000 2023;1721926474746511569;"@BetaEpsilonPhi @PNS_Ababil proyek IKN memang sangat tidak financially feasible si  jujur tujuan adanya IKN bagus, sangat bagus.";0;1;0;0;in;340180636;1721492352764887520;anf_alifa;https://twitter.com/anf_alifa/status/1721926474746511569
Tue Nov 07 16:23:53 +0000 2023;1721926456396407086;"@dapitnih @PineksoRoyi1 @mkusumawijaya Kan konteksnya itu.. suruh siapa bilang IKN itu akan green dan efisien.. tapi bangunannya aja "boros"..!! 🤣🤣 hahaha.. Gak efisien, jejak karbonnya banyak..! Apalagi kalau ada sertifikat green profesional nyaa.. 🫣😁 hehehe .";0;0;0;0;in;380962412;1721693245829484651;kemlonih;https://twitter.com/kemlonih/status/1721926456396407086
Tue Nov 07 16:15:16 +0000 2023;1721924288541045200;"@na_dirs @jokowi Apa dia masih punya kuping...";0;0;0;0;in;3313066993;1721878439039483950;KasdiIskandar;https://twitter.com/KasdiIskandar/status/1721924288541045200
Tue Nov 07 16:01:55 +0000 2023;1721920925476827268;"@susipudjiastuti Urgen buat bgsa lapang pekerjaan, sembako terjangkau,  biaya pendidikan d kesehatan terjangkau intinya IKN tdk urgen bu";0;0;0;1;in;1168454477164101632;1721911894754427291;Mulyadi34969220;https://twitter.com/Mulyadi34969220/status/1721920925476827268
