created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Nov 13 08:28:53 +0000 2023;1723981245602996440;"@wahyu_senjaya7 @habiburokhman @ganjarpranowo Kalau untuk IKN pak Ganjar akan meneruskan Pernah terbersit keinginan pak Soekarno untuk memindahkan ibukota ke palangkaraya namun saat itu sepertinya tidak memungkinkan. https://t.co/V47rN5RHNp";0;0;0;0;in;1398218987180199940;1723821031528309145;Indonesia_java;https://twitter.com/Indonesia_java/status/1723981245602996440
Mon Nov 13 08:23:18 +0000 2023;1723979838586073368;"@Indonesia_java @habiburokhman @ganjarpranowo Siyap mas, sementara ini saya berharap untuk calon yang bisa meneruskan 5 hal (infrastruktur, digitalisasi, pengembangan SDM, hilirisasi dan IKN...🙏🙏😊💪🇮🇩";0;5;0;0;in;1603564197211607040;1723821031528309145;wahyu_senjaya7;https://twitter.com/wahyu_senjaya7/status/1723979838586073368
Mon Nov 13 08:03:41 +0000 2023;1723974904884965713;"@rafiqi_28 @JukiHoki IKN cuma jadi pusat pemerintahan doang, tapi tetep aja jakarta jadi jantung peradaban indonesia. kecuali kalo minimal 30% populasi pulau jawa pindah ke kalimantan kalo gk ada migrasi besar ke kalimantan dari jawa indonesia tetap aja ketergantungan ama pulau jawa.";0;0;0;0;in;1647195328767201280;1723711665806639435;Mitologikal;https://twitter.com/Mitologikal/status/1723974904884965713
Mon Nov 13 07:56:42 +0000 2023;1723973147433836659;"@Miduk17 Haduhhh..nyinyir amat sech jadi orang, fifa bantu bantu bangun pusat training di ikn senilai 85M. Situ udah bantu u sepakbola indonesia?";0;0;0;0;in;274884424;1723893570997023127;Herychen1;https://twitter.com/Herychen1/status/1723973147433836659
Mon Nov 13 07:53:47 +0000 2023;1723972411715203224;"@MafiaWasit Indonesia 2 vs 2 Panama  #TebakSkorMW #TimnasDay";0;0;0;0;in;1658405386251296768;1723969710965067961;duniapolitica;https://twitter.com/duniapolitica/status/1723972411715203224
Mon Nov 13 07:34:46 +0000 2023;1723967625057956035;"Pemerintah bersama PLN menuju Indonesia yg lebih baik.  #IKN #INDONESIAEMAS #viral https://t.co/eLEz4ckO4s";0;0;0;0;in;1630030373915852800;1723967625057956035;agara_dika;https://twitter.com/agara_dika/status/1723967625057956035
Mon Nov 13 07:26:22 +0000 2023;1723965511091011782;"@Arth168 @Roysangkelana @Mentimoen Si Gibran dan Bobby kan bisa dipecat, spt halnya kepada Budiman Sudjatmiko  Mungkin, Jokowi main dua kaki utk proyek nasional utk Indonesia di masa depan: IKN, hilirisasi, bonus demografi, Indonesia Emas.";0;1;0;0;in;897749262653509632;1723935399804916170;KaZep7;https://twitter.com/KaZep7/status/1723965511091011782
Mon Nov 13 06:25:12 +0000 2023;1723950117688865129;"Kolaborasi PLN Dan Otorita IKN.  #infrastruktur #indonesia #digital #blt #sawit #bantuan https://t.co/7Nl0iYQq9M";0;0;0;0;in;1564492139697844224;1723950117688865129;bullshitt404;https://twitter.com/bullshitt404/status/1723950117688865129
Mon Nov 13 05:25:19 +0000 2023;1723935049702355387;"Inilah kolaborasi PLN dan Otorita IKN https://t.co/g9qnwxTfUp";0;0;0;0;in;1691014514731581441;1723935049702355387;i_bersatu;https://twitter.com/i_bersatu/status/1723935049702355387
Mon Nov 13 04:50:00 +0000 2023;1723926161237950879;"@sultohn @fvuerte @pxregrinate @tubirfess Jalur lintas sumatra ? Pembangunan bendung bendung di indonesia timur ? IKN ? Pembangkit pembangkit di kalimantan dan pulau pulau lainnya ? Itu juga salah satu usaha untuk menarik investor biar mau invest di indo bang";0;1;0;0;in;324246662;1723906138163609666;_nauval__;https://twitter.com/_nauval__/status/1723926161237950879
Mon Nov 13 04:28:17 +0000 2023;1723920694877262040;"@kompascom pada kenceng bgt "nafsu" nya.., ini semua gara2 bapak mu yg buka IKN, pertaruhkan indonesia makanya apapun cara kalian.. di tabrak semua aturan, demi realisasi IKN, dr pd takut dikeroyok investor.. 😅 iya kan bocil..?? 🤔";0;0;0;0;in;1186842137083576320;1723736182084039020;womenia2;https://twitter.com/womenia2/status/1723920694877262040
Mon Nov 13 04:16:57 +0000 2023;1723917844612522059;"#sahabatkbribsb  RESEPSI DIPLOMATIK  Nuansa IKN mewarnai Resepsi Diplomatik yang diselenggarakan KBRI Bandar Seri Begawan, pada 7 November 2023 di Songket Hall, Hotel Rizqun, Bandar Seri Begawan.  #kbribsb #indonesiainbsb #negarahadir #inidiplomasi #rintiskemajuan #melajuceria https://t.co/455Hy7QU13";0;0;0;2;in;2922485156;1723917844612522059;IndonesiaInBSB;https://twitter.com/IndonesiaInBSB/status/1723917844612522059
Mon Nov 13 03:51:03 +0000 2023;1723911325208719483;"@Miduk17 Akhirnya diputuskanlah Indonesia cuma disanksi administrasi, yakni dicabutnya dana FIFA Forward 3.0.   Walaupun demikian, FIFA tetap mendanai pembangunan TC di IKN senilai 85 miliar, plus APBN 95 miliar";0;1;0;0;in;1450690628078039047;1723893570997023127;solahasian;https://twitter.com/solahasian/status/1723911325208719483
Mon Nov 13 03:45:23 +0000 2023;1723909901104119969;"IKN Akan menjadi contoh hebat dan role model untuk kota di seluruh indonesia. IKN Nusantara https://t.co/9SvIan0Emp";0;0;0;0;in;1376796104939827206;1723909901104119969;GubukSenja;https://twitter.com/GubukSenja/status/1723909901104119969
Mon Nov 13 03:40:45 +0000 2023;1723908734617899295;"10 SPKLU di IKN. Ini adalah langkah yang sangat baik untuk mendukung penggunaan kendaraan listrik di Indonesia. Semoga semakin banyak fasilitas seperti ini yang dapat memudahkan masyarakat dalam menggunakan kendaraan ramah lingkungan.";0;0;0;0;in;1678694539962499073;1723908734617899295;RiskiGunaw31076;https://twitter.com/RiskiGunaw31076/status/1723908734617899295
Mon Nov 13 03:29:50 +0000 2023;1723905986010939809;"@Miduk17 Alasannya:  1. Indonesia bebas dari sanksi FIFA karena Tragedi Kanjuruhan, karema FIFA mau membantu pemerintah Indonesia dalam transformasi sepak bola Indonesia 2. Membangun TC di IKN, dana dari FIFA senilai 85 miliar  3. Ngasih jatah Piala Dunia U-17 4. Bikin kantor di Jakarta";0;0;0;0;in;1450690628078039047;1723893570997023127;solahasian;https://twitter.com/solahasian/status/1723905986010939809
Mon Nov 13 03:22:13 +0000 2023;1723904069721629053;"@meraaahputiiih IKN memanfaatkan teknologi yang efisien dan nyaman serta meneruskan warisan budaya Indonesia. #PindahIbuKota";0;0;0;0;in;1512332050753220609;1723701047636734266;bingobravoo;https://twitter.com/bingobravoo/status/1723904069721629053
Mon Nov 13 03:22:00 +0000 2023;1723904015485006159;"Inilah persembahan PLN mengukseskan pembangunan IKN Nusantara. Mewujudkan kemandirian energi nasional, mempercepat transformasi Indonesia dan mengakselerasi transisi energi.  #78TahunMenerangi #PLTSTerapungCirata #HLN78 #PLNRaksasaCarbonTrading";0;0;0;0;in;1240832838330503168;1723904007813362024;si_energi;https://twitter.com/si_energi/status/1723904015485006159
