created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Nov 11 10:45:56 +0000 2023;1723290960627708404;"1. Pemilu kali ini banyak Millenial dan Gen Z 2. PNS dan Pegawai swasta yang mau dipindah ke IKN kebanyakan Millenial dan Gen Z 3. Millenial dan Gen Z senang di Jkt dan Jawa  4. Kalau isu tunda atau batal IKN dikembangkan dengan alternatif di Jonggol misalnya  Nda bahaya tah?";0;0;0;0;in;84753425;1723290960627708404;ImanuelTaba;https://twitter.com/ImanuelTaba/status/1723290960627708404
Fri Nov 10 18:23:31 +0000 2023;1723043724559626750;"Isu mafia tanah di Kalimantan Timur (Kaltim) makin santer terdengar. Apalagi dengan ditunjuknya Benua Etam sebagai IKN.  #mafitanah #IKNusantara https://t.co/ZKCC0h5FKm";0;0;0;0;in;1699342350068469760;1723043724559626750;kaltimritme;https://twitter.com/kaltimritme/status/1723043724559626750
Thu Nov 09 04:50:40 +0000 2023;1722476776058966375;"lagi seneng liat perkembangan IKN daripada isu politik yang saling menggoreng lawan.";0;0;0;1;in;1166654017;1722476776058966375;KumbangLiar_;https://twitter.com/KumbangLiar_/status/1722476776058966375
Wed Nov 08 09:32:59 +0000 2023;1722185437664731588;"#Baleg #RUUDKJakarta MANTAB (Asosiasi Betawi) : Ada isu yang mengatakan bahwa kalau nanti IKN pindah, lalu bagaimana dengan aset-aset ex pemerintah pusat yang di Jakarta? Rumornya banyak dan kita berharap ada Kawasan Megapolitan dan Kawasan Khusus Tertentu, yaitu ... (1)";0;1;0;0;in;3550695012;1722185437664731588;WikiDPR1;https://twitter.com/WikiDPR1/status/1722185437664731588
Tue Nov 07 22:41:29 +0000 2023;1722021483483222097;"Mulai angkat isu baru nih, urusan tanah IKN.  Kocak banget milih isunya 😁";0;0;0;0;in;205261550;1722021483483222097;fredman02;https://twitter.com/fredman02/status/1722021483483222097
Tue Nov 07 16:34:07 +0000 2023;1721929031967465682;"framingnya mulai muncul. IKN jadi kata kunci. yang melaporkan majalah Time (dikutip kompasTV), narasumbernya sosiolog dari universitas kenamaan di Singapura, dan dari Australia.   keberhasilan media-media internasional ngangkat isu itu jika banyak media lokal kompak mengutipnya.";6;21;45;126;in;68083793;1721929031967465682;blontankpoer;https://twitter.com/blontankpoer/status/1721929031967465682
Tue Nov 07 13:14:24 +0000 2023;1721878772104954199;"@noegrahaha @Antinow4 @commiepupps Wah saya baru tau ada desas desus bgtu pas pilkada dki. Ternyata polanya diulang ya, jujur masyarakat provinsi sini banyak yg kemakan isu itu. Wlupun sempet baca AB akan kaji kelebihan dan kekurangan ikn, tpi orang² udah berkesimpulan gak bakal dilanjut..";0;0;0;0;in;996253001420423170;1721448957661048907;Tiyahharti;https://twitter.com/Tiyahharti/status/1721878772104954199
Tue Nov 07 09:55:38 +0000 2023;1721828748839047559;"@jatamnas @jokowi gk peduli yg spt ini. Isu lingkungan gk senyaman duduk2 ngopi2 dgn bos2 di IKN";0;0;0;0;in;1603958716768071681;1721710720667332650;Ijaunsi;https://twitter.com/Ijaunsi/status/1721828748839047559
Mon Nov 06 12:03:48 +0000 2023;1721498614672056334;"@drupadawan @kumparan Oh lebih ke strategi spesifiknya ya. Iya kalo itu saya sepakat sih. Isu IKN bakal diapain anies kalo dipilih itu penting sih. Soalnya stigmanya org2 itu anies bakal mbatalin IKN klo terpilih. Saya juga tertarik sama strategi pemerataan kesejahteraannya utk di luar jawa kyk gmn.";0;0;0;1;in;278352681;1721403178783227926;adeantiko;https://twitter.com/adeantiko/status/1721498614672056334
Mon Nov 06 10:00:05 +0000 2023;1721467481313984979;"Wacana 5 Provinsi di Pulau Kalimatan Ini Bakal Hambat Proses Pembentukan IKN? Begini Isu Pemekaran Bikin Geger Warganya https://t.co/XGJRh6rDP0";0;0;0;0;in;1559334091;1721467481313984979;sinergia_news;https://twitter.com/sinergia_news/status/1721467481313984979
Mon Nov 06 07:34:21 +0000 2023;1721430804994330851;"@Fahrihamzah Nini @vita_AVP dipanggil nih, lagi bahas isu kemungkinan IKN tidak diteruskan oleh Capres yg tdk didukung JKW🤣🤣😅😂";0;0;0;0;in;193623463;1721230125642244143;Sgrdamai;https://twitter.com/Sgrdamai/status/1721430804994330851
