created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Nov 07 15:35:42 +0000 2023;1721914331573665799;"@susipudjiastuti klo ini mah bukan masalah serius.. yang jadi masalah serius itu jika warga terdampak IKN/PSN itu terjamin sandang pangan dan masa depannya.";0;0;0;0;in;1420005073992572930;1721911894754427291;madinakopikoi;https://twitter.com/madinakopikoi/status/1721914331573665799
Tue Nov 07 14:00:37 +0000 2023;1721890402121458130;"Ada masalah serius yang tak terpotret dari pembangunan IKN, yakni banyak warga yang kehilangan lahan dan rumah sendiri, dan tak ada pengganti. https://t.co/WU19oCkrd9";22;12;109;121;in;23343960;1721890402121458130;kompascom;https://twitter.com/kompascom/status/1721890402121458130
Tue Nov 07 03:40:19 +0000 2023;1721734297986777277;"@Yulia_NS79 Dan para kader PKS bertepuk tangan, menari riang gembira. Dan, IKN Nusantara nasibnya semakin gak jelas. Siapa pun pemenangnya, akan enggan meneruskannya, karena banyak masalah dan dana yang terlalu besar. Lantas, dimangkrakkan, diambil alih Hasyim. Paham?";0;0;0;0;in;1697105151767814144;1721689281272668275;MasTooman2023;https://twitter.com/MasTooman2023/status/1721734297986777277
Tue Nov 07 00:14:03 +0000 2023;1721682389267841414;"@Digil_ @sociotalker Ini kayaknya lebih ke ada masalah dgn BUMN ny sih, drpd ke IKN ny";0;0;1;4;in;2368964965;1721565736760676509;azrbjian;https://twitter.com/azrbjian/status/1721682389267841414
Mon Nov 06 16:17:46 +0000 2023;1721562529217032606;"@aniesbaswedan SubhanaAlloh,semoga segera teratasi masalah kekurangan air,ni rezim kebanyakan gaya,yg kereta cepat,yg IKN,Mobil Listrik lah!! Lha wong rakyat si pembayar pajak buat ngegaji mereka² ko malah gK diperhatiin?!?urus hal yg sepele aja gK bisa mau macem²,timbul nya malah ngutang!!";0;0;0;3;in;561833630;1721502494499766368;mwildhan;https://twitter.com/mwildhan/status/1721562529217032606
Mon Nov 06 12:26:27 +0000 2023;1721504317080027297;"@Fahrihamzah jgn mentang2 dah sekolam suaranya jadi lain lg,  ikn diteruskan gk masalah, tp harus diaudit &amp  di rekonstruksi  anggarannya, biar gk ngebebanin apbn &amp  jg kedepan mesti ada skala prioritas dlm pembangunan, jgn cuma bangunan dan jalan2, manusia dan kesejahteraan perlu ditingkatkan";0;0;0;0;in;791351151903989760;1721230125642244143;Aqimd;https://twitter.com/Aqimd/status/1721504317080027297
Mon Nov 06 11:31:12 +0000 2023;1721490413578850665;"@Fahrihamzah Pelanggaran etik MK saja tetap tidak diiyakan oleh seorang Fahri Hamzah, apalagi masalah IKN doang";0;0;0;0;in;1719994137263624192;1721230125642244143;nainggolan165;https://twitter.com/nainggolan165/status/1721490413578850665
Mon Nov 06 09:58:36 +0000 2023;1721467108926828773;"@Fahrihamzah Akui saja hei fahri, anda ini butuh supaya partai anda masuk parlemen klo deket sama kekuasaan, jdinya anda jilat2 tuh pantat kekuasaan yaa. Pdhal dulu paling jago kritik2 masalah IKN";0;0;0;0;in;1713082029473210368;1721230125642244143;romania_ray;https://twitter.com/romania_ray/status/1721467108926828773
Mon Nov 06 08:58:43 +0000 2023;1721452037274267861;"@Fahrihamzah Si pelanggar MK di aja di iyakan oleh Fahri Hamzah, apalagi masalah IKN";0;0;0;0;in;1701899299334864896;1721230125642244143;IlaStrauss80848;https://twitter.com/IlaStrauss80848/status/1721452037274267861
Mon Nov 06 07:21:40 +0000 2023;1721427612726329706;"@Fahrihamzah Dia yg nantang, dia pula yg melarikan masalah IKN ke copras capres, ruwet amat.";0;0;0;0;in;1500448874175295494;1721230125642244143;putraaudi21;https://twitter.com/putraaudi21/status/1721427612726329706
Mon Nov 06 07:10:44 +0000 2023;1721424863351697876;"@TheArieAir Mungkin salah satunya adalah IKN bg gue liat pak jokowi ingin di kenang sebagai karena IKN adalah ujung monasnya kalo masalah infastrutur itu masih kalah seksi. Intinya keberlanjutan sih? Mungkin yg lain gak ngasih garansi 100 %  kalo melanjutkan programnya😂";0;0;0;0;in;1680287015705911296;1721141484148441515;hiday15389;https://twitter.com/hiday15389/status/1721424863351697876
Mon Nov 06 04:15:53 +0000 2023;1721380860031844627;"@Hilmi28 Zionis lokal pasti mengungkit masalah Papua, seakan hanya mrk yg peduli ke Papua...  Pdhl masalah kelaparan itu porsi pemerintah, malah sibuk bangun IKN.. T E R L A L U  Sprtnya yg komplen, yg 2019 memilih presiden yg saat ini, saya mah nggak, komplen ke presiden anda..";0;0;0;0;in;1604479231844835328;1721359478434767161;ida_aslina;https://twitter.com/ida_aslina/status/1721380860031844627
Mon Nov 06 03:48:14 +0000 2023;1721373900209349014;"Saya kadang bingung dengan Pak @jokowi. Beliau itu motivasinya apa membangun IKN? Yang akan menikmati Presiden berikutnya bukan beliau  Yang menghina dan memaki masalah IKN, ya pendukung presiden berikutnya  "Wong kok atine jembare nemen tho? Meneng wae salah, obah tambah salah"";1;0;1;2;in;2248056396;1721373900209349014;MisbahWiyono;https://twitter.com/MisbahWiyono/status/1721373900209349014
Mon Nov 06 01:13:05 +0000 2023;1721334859120169434;"@Fahrihamzah Yang bisa pecahin masalah hanya anies kayanya.. Ini sama kaya pulau reklamasi waktu itu..  Sangat menarik jika anies jadi presiden mau diapain ini IKN.  Calon lain ga menarik pasti yg udh2 sama aja";0;0;0;0;in;1345283842375000065;1721230125642244143;Didi42117116;https://twitter.com/Didi42117116/status/1721334859120169434
Mon Nov 06 00:24:05 +0000 2023;1721322526805266612;"@Fahrihamzah Harusnya jangan dana APBN tapi dana investor, yg jadi masalah investor ogah masuk, karena tahu banyak penyelewengan dan korup dalam ikn";0;0;0;0;in;233985933;1721230125642244143;alfamotor;https://twitter.com/alfamotor/status/1721322526805266612
Sun Nov 05 23:10:48 +0000 2023;1721304081820717490;"@Fahrihamzah Gak masalah, hambalang aja pelaku korupsinya udah dipenjara tetap dimangkrakkan biar jadi senjata politik. IKN apalagi, tujuannya korup, prosesnya korup, pelaksanaannya korup. Kita bikin mangkrak nanti dan jadikan candi untuk penjarakan semua rezim saat ini dan kroninya.";0;0;0;0;in;704230191652954113;1721230125642244143;AnwaDroid;https://twitter.com/AnwaDroid/status/1721304081820717490
Sun Nov 05 21:24:18 +0000 2023;1721277283359694939;"@ErikMonokrom @RAPanutan @Fahrihamzah Hambalang dihentikan atas nama hukum. Kalau IKN jg punya byk masalah, bakal dihentikan sendiri atas nama hukum. Kenapa fahri ketakutan setengah mampus begini? Apa IKN ada indikasi korupsi? Apa doi terlibat kitu? Kalau ngga ada apa2 harusnya sih dia ngga perlu ketakutan begini";0;1;0;0;in;1617060345528610816;1721230125642244143;Raeraraera;https://twitter.com/Raeraraera/status/1721277283359694939
Sun Nov 05 05:38:49 +0000 2023;1721039342184079380;"Ya gpp! Batalkan saja Gibran dan masalah selesai! Jng pikirkan kelanjutan IKN ! Orang banyak juga gak pikirkan! @jokowi  @gibran_tweet    Sdhlah lepaskan semua! Kenapa harus cari susah bila sdh bahagia?";0;0;0;0;in;1297043782874013696;1721039342184079380;suryasena53;https://twitter.com/suryasena53/status/1721039342184079380
Sun Nov 05 05:05:51 +0000 2023;1721031045678862366;"@AditBandit234 @GeiszChalifah Iya termasuk melanjutkan IKN, ga ada masalah buat dilanjutkan.";0;0;0;0;in;1487499777629908992;1720713950751535340;mnwishful;https://twitter.com/mnwishful/status/1721031045678862366
