created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Nov 11 12:28:17 +0000 2023;1723316717533966587;"Itu kode om Gavin deyy, supaya km diskusiin lgi masalah pernikahan mu sama keluarga, gosah maksain ke ikn, yg ada km di blacklist jdi mantu om Gavin tau rasa";0;0;0;1;in;1313012663186718720;1723316717533966587;Amoy_614;https://twitter.com/Amoy_614/status/1723316717533966587
Sat Nov 11 02:15:09 +0000 2023;1723162417809805471;"@asumsico Dia pro IKN, jadi keputusan dia, menyalahkan Jakarta semua. Bukan menyelesaikan masalah dengan baik";0;0;0;0;in;1193706772411777024;1722963463553630360;Drag_racepyk;https://twitter.com/Drag_racepyk/status/1723162417809805471
Fri Nov 10 12:04:14 +0000 2023;1722948274183930350;"Bang hasan Udh mirip narasinya dgn pak anis matta. Logikanya berantuk-antuk agar tidak keceplosan ini masalah IKN. Kalau dinegara demokrasi normal tdk ada keharusan presiden yg habis masa jabatan pusing2 cari pengganti, krn percaya, sistim akan menjaga bangsa diarah yg benar.";0;0;0;0;in;208923788;1722948274183930350;Mjhd_23;https://twitter.com/Mjhd_23/status/1722948274183930350
Thu Nov 09 14:43:38 +0000 2023;1722626000734109969;"Temen gue juga sering kabur ke IKN klo ada masalah karena di jakarta ruwet dan banyak drama sinetron 🤣🤣🤣";0;0;0;0;in;1603803710135873536;1722626000734109969;AgusKuswanto121;https://twitter.com/AgusKuswanto121/status/1722626000734109969
Wed Nov 08 16:11:10 +0000 2023;1722285642095448437;"@kompascom koar-koar IKN fafifu was wes wos, ee masalah lahan yg paling mendasar gini aja minim solusi, cuma bisa ngasih duit dihargain murah pula. emang bukan buat memajukan rakyat sekitar nih mah orientasi nya";0;0;0;0;in;77911133;1721890402121458130;anwar_awai;https://twitter.com/anwar_awai/status/1722285642095448437
Wed Nov 08 14:14:49 +0000 2023;1722256362711945330;"Ane, bakal dukung ente kalo proyek IKN DIBATALKAN.   Masalah nya ente bisa gk ??";0;0;0;1;in;1605766653152661505;1722256362711945330;subarkahae;https://twitter.com/subarkahae/status/1722256362711945330
Wed Nov 08 12:57:20 +0000 2023;1722236864407671276;"@anteraja_id Paket 1 minggu gk nyampe2 ini masih dalam Kota Jakarta woiii bukan ke IKN @anteraja_id @ShopeeCare @ShopeeID masalah kok massal https://t.co/PgGq4dnpGL";1;1;0;0;in;1531979672996614144;1721382048110367079;wzlgs;https://twitter.com/wzlgs/status/1722236864407671276
Wed Nov 08 02:06:48 +0000 2023;1722073152396603582;""Ada masalah serius yang tak terpotret dari pembangunan IKN, yakni banyak warga yang kehilangan lahan dan rumah sendiri, dan tak ada pengganti." https://t.co/GULQIlaRq3 https://t.co/xmitP6tXfc";0;0;0;1;in;864120370206519297;1722073152396603582;BSipoel;https://twitter.com/BSipoel/status/1722073152396603582
Tue Nov 07 23:40:49 +0000 2023;1722036411396927588;"@Heraloebss Adik adik ini bisa mulai sekolah kembali di IKN ya, ini solusi buat semua masalah.";0;0;0;0;in;162627606;1721854444994957655;sulaimanariefst;https://twitter.com/sulaimanariefst/status/1722036411396927588
Tue Nov 07 22:54:31 +0000 2023;1722024762984341532;"IKN menimbulkan banyak masalah";0;0;0;1;in;1576374950482440192;1722024762984341532;GiloMoh;https://twitter.com/GiloMoh/status/1722024762984341532
