created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Nov 11 14:35:11 +0000 2023;1723348650020278394;"Pembangunan IKN, Kominfo: Harus Dibarengi Komunikasi Publik yang Baik https://t.co/U1j3jg2F7A";0;0;0;0;in;1497617587;1723348650020278394;mynewsindo;https://twitter.com/mynewsindo/status/1723348650020278394
Sat Nov 11 14:18:45 +0000 2023;1723344514268516488;"Presiden Jokowi mengatakan bahwa pembangunan Ibu kota  IKN tidak bisa dilakukan sendiri   | Audrey Bu Susi Magelang Xi Jinping Fizi Kecap Wardah Micellar Water Coldplay BTS BTS BTS Hospitals Saosin BMTH Beto jeno U-15 || https://t.co/Jwr1CRtNIo";0;1;0;0;in;633599617;1723344514268516488;quycvom;https://twitter.com/quycvom/status/1723344514268516488
Sat Nov 11 14:10:07 +0000 2023;1723342344165142656;"Pembangunan IKN Dapat Restu 13 Badan PBB, pak @jokowi  dan @KSPgoid @KemenPU @KemensetnegRI @Kemendagri_RI harus usahakan januari 2024 sudah mulai ngantor di IKN. Sanggupkah pak Jokowi?  https://t.co/epTMFePPzX";1;0;1;0;in;2681544307;1723342344165142656;jempol_waras;https://twitter.com/jempol_waras/status/1723342344165142656
Sat Nov 11 13:26:51 +0000 2023;1723331455064162454;"Pembangunan IKN terus dilakukan https://t.co/nuoL8ubgzZ";0;0;0;0;in;1448431290;1723331455064162454;Nykaa_77;https://twitter.com/Nykaa_77/status/1723331455064162454
Sat Nov 11 13:00:11 +0000 2023;1723324745561903470;"Pembangunan PLTS IKN telah diresmikan pada Kamis/02 November 2023. Rekadaya Elektrika siap berkontribusi dalam pembangunan sistem kelistrikan di Ibu Kota Nusantara (IKN).  #REINSITEedisi119 #GIPLTS10MW #IKN #RekadayaElektrika  #TrustedPartner https://t.co/zhjCkzJZrO";0;0;0;0;in;850627231789469696;1723324745561903470;rekadaya_id;https://twitter.com/rekadaya_id/status/1723324745561903470
Sat Nov 11 12:29:53 +0000 2023;1723317119348289608;"Presiden Jokowi minta semua pihak untuk mendukung pembangunan IKN Nusantara #KotaDuniaUntukSemua #IKNPemerataanEkonomi #IKNSejahterakanIndonesia https://t.co/vVq3quWJip";0;0;0;0;in;2519261515;1723317119348289608;maryshelparaiso;https://twitter.com/maryshelparaiso/status/1723317119348289608
Sat Nov 11 12:29:48 +0000 2023;1723317098846257640;"Presiden Jokowi minta semua pihak untuk mendukung pembangunan IKN Nusantara #KotaDuniaUntukSemua #IKNPemerataanEkonomi #IKNSejahterakanIndonesia https://t.co/q8zzfrONHS";0;0;0;0;in;2519261515;1723317098846257640;maryshelparaiso;https://twitter.com/maryshelparaiso/status/1723317098846257640
Sat Nov 11 12:25:25 +0000 2023;1723315995601953081;"Masyarakat Kutai deklarasi mendukung pembangunan IKN #IndonesiaEmas2024 #InfrastrukturMaju https://t.co/Egiw1dLohL";0;0;0;0;in;1669645311479025664;1723315995601953081;VitSentra;https://twitter.com/VitSentra/status/1723315995601953081
Sat Nov 11 12:25:22 +0000 2023;1723315980980687176;"Masyarakat Kutai deklarasi mendukung pembangunan IKN #IndonesiaEmas2024 #InfrastrukturMaju https://t.co/9sUniiyXmb";0;0;0;0;in;1669645311479025664;1723315980980687176;VitSentra;https://twitter.com/VitSentra/status/1723315980980687176
Sat Nov 11 11:44:00 +0000 2023;1723305570525147440;"Masyarakat Kutai deklarasi mendukung pembangunan IKN #IndonesiaEmas2024 #InfrastrukturMaju https://t.co/07SNFYh6PE";0;0;0;0;in;1694397108571488256;1723305570525147440;Bujangan0011;https://twitter.com/Bujangan0011/status/1723305570525147440
