created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Nov 07 07:52:16 +0000 2023;1721797703649333371;"Dukungan tokoh Kaltim berdampak positif pada percepatan pembangunan infrastruktur IKN Nusantara untuk menjadi kota modern bertaraf internasional. https://t.co/MwPCImJceI";0;0;0;0;in;1069401364067868673;1721797703649333371;PolitikLingkar;https://twitter.com/PolitikLingkar/status/1721797703649333371
Tue Nov 07 06:57:42 +0000 2023;1721783970306895997;"Bandara IKN ditarget selesai Desember 2024, pembangunan lain dikebut #IKNNUSANTARA #Infrastruktur #IndonesiaMaju https://t.co/O9P46os3r7";0;1;0;1;in;1579499361599631367;1721783970306895997;KochengPosi;https://twitter.com/KochengPosi/status/1721783970306895997
Mon Nov 06 23:56:01 +0000 2023;1721677849332252930;"Berbagai Program Pembangunan dan Infrastruktur Pemerintah utk Indonesia yg lebih Maju #IndonesiaMaju #Jokowi #IndonesiaEmas2045 #IKNNusantara #IKN https://t.co/VNCCQXrQ9a";0;1;0;1;in;1564060355541831682;1721677849332252930;BerpikirP0sitif;https://twitter.com/BerpikirP0sitif/status/1721677849332252930
Mon Nov 06 23:45:26 +0000 2023;1721675189048803815;"Indonesia Maju bersama IKN";0;0;0;0;in;1564060355541831682;1721674900627415331;BerpikirP0sitif;https://twitter.com/BerpikirP0sitif/status/1721675189048803815
Mon Nov 06 23:45:19 +0000 2023;1721675158342250582;"Dukung Pembangunan IKN";0;0;0;0;in;1564060355541831682;1721674900627415331;BerpikirP0sitif;https://twitter.com/BerpikirP0sitif/status/1721675158342250582
Mon Nov 06 14:32:09 +0000 2023;1721535950931874091;"https://t.co/klULI7jZVY Padahal Perencanaan Projek IKN ini udah lama. Pasti ada hal2 yg sulit.  Emang begitu yah, kalo mau pindah Banyak kendalanya. Tapi, semoga dipermudah. Kalo punya Tujuan Bagus pasti hasilnya positif.  Ada Jalannya.meski sulit. https://t.co/Mf0UYWD9jy";0;0;0;0;in;2775132192;1721535950931874091;27Noprie;https://twitter.com/27Noprie/status/1721535950931874091
Mon Nov 06 14:39:03 +0000 2023;1721537687478505682;"Pembangunan IKN terus berlanjut yang berdampak positif https://t.co/izKFK5eBtR";0;0;0;0;in;1448431290;1721537687478505682;Nykaa_77;https://twitter.com/Nykaa_77/status/1721537687478505682
Mon Nov 06 23:44:18 +0000 2023;1721674900627415331;"37 Proyek Strategis Nasional Ditargetkan Akan Selesai pada 2024 #IndonesiaMaju #Jokowi #IndonesiaEmas2045 #IKNNusantara #IKN https://t.co/IGJ8woybph";4;10;0;25;in;1564060355541831682;1721674900627415331;BerpikirP0sitif;https://twitter.com/BerpikirP0sitif/status/1721674900627415331
Mon Nov 06 07:35:37 +0000 2023;1721431125074366908;"Pembangunan IKN berdampak positif utk ekonomi nasional https://t.co/ba7LRhZgDb";0;0;0;0;in;1372170737851633669;1721431125074366908;AlysaNuha;https://twitter.com/AlysaNuha/status/1721431125074366908
Mon Nov 06 06:05:27 +0000 2023;1721408435781333196;"1. IKN  Sektor semen terdorong sentimen positif dari pernyataan Presiden yg pastikan berlanjutnya proyek IKN setelah pemilu 2024. Pekan lalu, Joko Widodo telah resmikan groundbreaking sejumlah proyek di IKN dan mengatakan bahwa terdapat 8–9 proyek yang akan dimulai pembangunannya";0;1;0;1;in;587189716;1721408429645021556;Stockbit;https://twitter.com/Stockbit/status/1721408435781333196
Mon Nov 06 06:05:27 +0000 2023;1721408433201844534;"Penguatan harga saham semen big-cap terjadi karena 3 faktor:  1. Kepastian dan progres proyek IKN menjadi sentimen positif bagi saham semen, terutama $SMGR 2. Valuasi 3. Volume Penjualan bulan Oktober";0;1;0;1;in;587189716;1721408429645021556;Stockbit;https://twitter.com/Stockbit/status/1721408433201844534
Mon Nov 06 01:53:31 +0000 2023;1721345030840090887;"Pembangunan Ibu Kota Negara (IKN) Nusantara diyakini akan memberikan dampak positif bagi perekonomian masyarakat di Kalimantan, khususnya bagi sektor Usaha Mikro Kecil dan Menengah. https://t.co/O2UjE9q2kl";0;0;0;0;in;1451771202255478793;1721345030840090887;ZelinePatricia;https://twitter.com/ZelinePatricia/status/1721345030840090887
Sun Nov 05 22:57:26 +0000 2023;1721300720958509429;"Pembangunan Infrastruktur yg merata jadi pilar menyongsong Indonesia Emas 2045 #IndonesiaMaju #Jokowi #IndonesiaEmas2045 #IKNNusantara #IKN https://t.co/V43RSgXt11";0;0;0;1;in;1564060355541831682;1721300720958509429;BerpikirP0sitif;https://twitter.com/BerpikirP0sitif/status/1721300720958509429
Sun Nov 05 22:56:55 +0000 2023;1721300588712046634;"Dukung pembangunan IKN Nusantara";0;0;0;0;in;1564060355541831682;1721300180656697399;BerpikirP0sitif;https://twitter.com/BerpikirP0sitif/status/1721300588712046634
Sun Nov 05 22:55:17 +0000 2023;1721300180656697399;"Upaya kolaborasi antara pemerintah dan swasta dalam dialog ASEAN 2023 #IndonesiaMaju #Jokowi #IndonesiaEmas2045 #IKNNusantara #IKN https://t.co/kcBHoTGZrv";4;6;0;38;in;1564060355541831682;1721300180656697399;BerpikirP0sitif;https://twitter.com/BerpikirP0sitif/status/1721300180656697399
Sun Nov 05 05:55:37 +0000 2023;1721043571825139906;"Pembangunan IKN Nusantara memiliki banyak dampak positif bagi masyarakat lokal di Kalimantan khususnya dalam aspek kesejahteraan #IbuKotaNegara #IKNNusantara #KotaDuniaUntukSemua #IKNSejahterakanWargaKaltim #DukungIKN #PertumbuhanEkonomi #IndonesiaEmas2045 https://t.co/TXVS4bseQy";0;0;0;48;in;1182620764668694529;1721043571825139906;anggawangga1;https://twitter.com/anggawangga1/status/1721043571825139906
Sun Nov 05 02:31:38 +0000 2023;1720992238225027177;"konsep _green energy_ dengan menggunakan sumber energi terbarukan seperti tenaga surya dan angin. Ini adalah langkah positif dalam menjaga keberlanjutan lingkungan dan mengurangi emisi gas rumah kaca. Selain itu, IKN Nusantara juga";0;0;0;1;in;1496022540015538180;1720992238225027177;CameliaMalik14;https://twitter.com/CameliaMalik14/status/1720992238225027177
Sun Nov 05 02:23:31 +0000 2023;1720990195385081949;"konsep "Smart Grid" yang akan memastikan keandalan pasokan listrik di IKN. Selain itu, Presiden Jokowi juga menekankan pentingnya pengembangan energi terbarukan di Indonesia. Semoga kunjungan ini membawa dampak positif bagi perkembangan";0;0;0;0;in;1688836425712852992;1720990195385081949;rakaput1879521;https://twitter.com/rakaput1879521/status/1720990195385081949
Sat Nov 04 08:38:14 +0000 2023;1720722108148564219;"Tingginya minat investor dalam pembangunan IKN Nusantara berdampak positif pada progres pembangunan dalam rangka menciptakan pusat ekonomi baru Indonesia. https://t.co/orPNvp9gnT";0;0;0;0;in;1069401364067868673;1720722108148564219;PolitikLingkar;https://twitter.com/PolitikLingkar/status/1720722108148564219
Sat Nov 04 01:54:50 +0000 2023;1720620587247141036;"@ZelinePatricia IKN NUSANTARA MEMBERIKAN DAMPAK POSITIF.. DUKUNG PENUH😍😍😍";0;0;0;0;in;1452515728133820417;1720461101345960057;nadiapurwati89;https://twitter.com/nadiapurwati89/status/1720620587247141036
Sat Nov 04 01:38:29 +0000 2023;1720616471745720324;"Mari kita dukung dan kawal pembangunan IKN untuk kemajuan Bangsa dan Negara #IKNNusantara #IKN #Jokowi #IndonesiaMaju https://t.co/8CFpD9gDes";0;0;0;1;in;1564060355541831682;1720616471745720324;BerpikirP0sitif;https://twitter.com/BerpikirP0sitif/status/1720616471745720324
Sat Nov 04 01:37:30 +0000 2023;1720616228081770533;"Dukung IKN";0;0;0;0;in;1564060355541831682;1720615970115408373;BerpikirP0sitif;https://twitter.com/BerpikirP0sitif/status/1720616228081770533
Sat Nov 04 01:37:09 +0000 2023;1720616137975627881;"IKN Pasti Jadi !!! #PemerintahMembangun #PembangunanIKN #IKN #IbuKotaNegara #Nusantara https://t.co/fNgJG3kZTx";0;1;0;1;in;1579499361599631367;1720616137975627881;KochengPosi;https://twitter.com/KochengPosi/status/1720616137975627881
Sat Nov 04 01:36:29 +0000 2023;1720615970115408373;"Perkembangan pembangunan Ibu Kota Nusantara (IKN). IKN akan menjadi muara pertemuan Berbagai Budaya di Indoensia #IKNNusantara #IKN #Jokowi #IndonesiaMaju https://t.co/RLZCHKyo29";4;5;0;33;in;1564060355541831682;1720615970115408373;BerpikirP0sitif;https://twitter.com/BerpikirP0sitif/status/1720615970115408373
Fri Nov 03 12:55:04 +0000 2023;1720424353236451718;"SDN 020 Sepaku, Kabupaten Penajam Paser Utara (PPU), Kalimantan Timur yang masuk dalam kawasan IKN akan direvitalisasi. Rencana ini mendapatkan sambutan positif dari orang tua murid.  #IDNTimesKaltim   https://t.co/Wi7ZUDXYij https://t.co/vBXRHsUCsK";0;0;1;2;in;1318854352069554177;1720424353236451718;IDNTimesKaltim;https://twitter.com/IDNTimesKaltim/status/1720424353236451718
