created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Nov 16 15:08:35 +0000 2023;1725168996347953496;"@KompasTV Banyak orang yg tadinya dukung IKN sekarang sudah agak malas tanggapinnya setelah melihat perilakunya belakangan ini. Meskipun masih mendukung karena sudah ada Undang-Undangnya, namun semangat dukungannya jelas beda.";0;0;0;1;in;176110549;1725081332311904664;mitsau;https://twitter.com/mitsau/status/1725168996347953496
Thu Nov 16 15:05:01 +0000 2023;1725168100385890531;"Dukung pembangunan IKN";0;0;0;0;in;1604201558736273408;1725155421697020155;VeYunanda;https://twitter.com/VeYunanda/status/1725168100385890531
Thu Nov 16 14:23:26 +0000 2023;1725157632250454423;"Dukung IKN Nusantara https://t.co/W2P2kS9oiU";0;0;0;0;in;1413405180427603972;1725157632250454423;RengginangMas;https://twitter.com/RengginangMas/status/1725157632250454423
Thu Nov 16 13:05:05 +0000 2023;1725137915439874450;"@mimih6mei @idrisbue @abby6mei @alextham878 @bengkeldodo @Sitikues Jalani dengan cara bersih fokus dukung pilihan masing masing,kaya aku misalnya nomor 2🥰";0;0;0;0;in;1702261546687340544;1725128736302150068;dm_4bby;https://twitter.com/dm_4bby/status/1725137915439874450
Thu Nov 16 12:37:03 +0000 2023;1725130859781771693;"Dukung terus pembangunan IKN Nusantara https://t.co/1bV4lXnIsN";0;0;0;0;in;1448431290;1725130859781771693;Nykaa_77;https://twitter.com/Nykaa_77/status/1725130859781771693
Thu Nov 16 11:59:46 +0000 2023;1725121477396304180;"@brianahsan0977 @_pedagang_ @ikn_id Bener, itung-itung ningkarin pemasukan dan ekonomi pekerja lepas dan wirausahawan seni. Katanya mau memperbanyak wirausaha tapi pemerintahnya aja secara materi nggak dukung.";0;0;0;0;in;1433624530371497986;1724730257557827693;Cornflower_Eye;https://twitter.com/Cornflower_Eye/status/1725121477396304180
Thu Nov 16 05:41:13 +0000 2023;1725026215978061863;"ini. Pembangunan IKN Nusantara memang membutuhkan waktu yang lama, namun ini adalah langkah penting untuk masa depan Indonesia. Mari kita dukung dan bersabar dalam proses ini.";0;0;0;0;in;1523534152142049280;1725026215978061863;AureliiaNatasya;https://twitter.com/AureliiaNatasya/status/1725026215978061863
Thu Nov 16 03:53:50 +0000 2023;1724999189430763844;"@ikn_id Hmmm malah pake AI. Dukung pekerjea kreatif kita dong, digital Ilustrator kita juga hasilnya keren-keren. Ga kaya AI, nulis aja belepotan.";0;0;0;0;in;588267037;1724730257557827693;IbnuRashyd;https://twitter.com/IbnuRashyd/status/1724999189430763844
Thu Nov 16 03:49:27 +0000 2023;1724998086492344633;"@KoalisiNetizen dukung pemindahan ikn #PindahIbuKota";0;0;0;0;in;1516954634287710208;1724803483017355577;masyahrianaa;https://twitter.com/masyahrianaa/status/1724998086492344633
Thu Nov 16 03:49:21 +0000 2023;1724998061884313656;"@KoalisiNetizen saya juga dukung IKN #PindahIbuKota";0;0;0;0;in;1512332050753220609;1724803483017355577;bingobravoo;https://twitter.com/bingobravoo/status/1724998061884313656
