created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Nov 16 15:14:10 +0000 2023;1725170400462606457;"@igittts @GunaOneMerdeka @This_is_Fer_ @elisa_jkt Nah yaudah, poinnya balik lagi. Lo sangat mendukung pembangunan IKN dengan dalih untuk kemajuan luar jawa gacuma jabodetabek.  Dan gue di situ ngasih contoh kalo maju itu gaharus kayak jabodetabek yang gedung dan mall di mana-mana.";0;1;0;0;in;1441394453457948682;1724822355321737662;lluvianeiva;https://twitter.com/lluvianeiva/status/1725170400462606457
Thu Nov 16 15:08:35 +0000 2023;1725168996347953496;"@KompasTV Banyak orang yg tadinya dukung IKN sekarang sudah agak malas tanggapinnya setelah melihat perilakunya belakangan ini. Meskipun masih mendukung karena sudah ada Undang-Undangnya, namun semangat dukungannya jelas beda.";0;0;0;1;in;176110549;1725081332311904664;mitsau;https://twitter.com/mitsau/status/1725168996347953496
Thu Nov 16 13:28:10 +0000 2023;1725143726174122405;"@aksara_putra52 @yokosanaa @CNNIndonesia sy tny..mmg narasinya 212 yg salah apa mreka tdk pernah maling...yg dikatakan benar adanya utk pekabat negeri ini..hi bung...jgn jdi org munafik...dukungan tdk hny  dr gol tertentu..semua rakyat gol..berhak mendukung Amien..musuh Amin ini bkn gol org baik..tp gol pembunuhmunafik";0;6;0;0;in;1658405386251296768;1725128507163033729;duniapolitica;https://twitter.com/duniapolitica/status/1725143726174122405
Thu Nov 16 09:42:01 +0000 2023;1725086814061682987;"Sebagai wilayah pusat kegiatan industri yang mendukung kegiatan Pembangunan Ibu Kota Nusantara (IKN), penertiban pemanfaatan ruang menjadi bagian fundamental dari proses penataan ruang demi mencapai tertib tata ruang ...  Baca selengkapnya kunjungi: https://t.co/euMj0SBfEX https://t.co/aWqXUmCqHJ";0;0;0;0;in;1164091211461750784;1725086814061682987;kantahkotaplg;https://twitter.com/kantahkotaplg/status/1725086814061682987
Thu Nov 16 09:05:33 +0000 2023;1725077637100613857;"Kalbar Benahi Jalur Transportasi Untuk Mendukung Jalur IKN - https://t.co/iLCufpZTZD";0;0;0;0;in;1428192472664973312;1725077637100613857;kbrkalimantan1;https://twitter.com/kbrkalimantan1/status/1725077637100613857
Thu Nov 16 09:02:34 +0000 2023;1725076885737292177;"Kalbar benahi jalur transportasi untuk mendukung jalur IKN https://t.co/74Om04lmqm";0;0;0;0;in;1203876160469266433;1725076885737292177;antarabiz;https://twitter.com/antarabiz/status/1725076885737292177
Thu Nov 16 08:15:06 +0000 2023;1725064940158104041;"ENERGI HIJAU UNTUK KELISTRIKAN IKN NUSANTARA! Green, Smart, and Beautiful!   PLN all-out mendukung infrastruktur kelistrikan hijau untuk mendukung IKN menjadi Ibu Kota terbaik di mana semuanya akan berbasis ---  #PLNSukseskanIKN #AcceleratingRenewableEnergy https://t.co/ogADBbk6oo";0;0;0;0;in;1671341143857205253;1725064940158104041;asmaraswara22;https://twitter.com/asmaraswara22/status/1725064940158104041
Thu Nov 16 07:51:59 +0000 2023;1725059123610530287;"ENERGI HIJAU UNTUK KELISTRIKAN IKN NUSANTARA! Green, Smart, and Beautiful!   PLN all-out mendukung infrastruktur kelistrikan hijau untuk mendukung IKN menjadi Ibu Kota terbaik di mana semuanya akan berbasis state of the art of technology, https://t.co/zBhsfrUMcQ";0;0;0;0;in;1478303206564249601;1725059123610530287;sebuahima;https://twitter.com/sebuahima/status/1725059123610530287
Thu Nov 16 07:45:25 +0000 2023;1725057469473505381;"@_pedagang_ @ikn_id Sedih juga, karena beberapa dapat menilai jika pemerintah Indonesia tidak mendukung potensi seni dan bakat warganya";0;1;0;1;in;1568518474624028674;1724730257557827693;brianahsan0977;https://twitter.com/brianahsan0977/status/1725057469473505381
Thu Nov 16 07:15:30 +0000 2023;1725049940878279098;"13 lembaga PBB mendukung pembangunan di IKN https://t.co/VluYk2YROZ";0;0;0;0;in;1717154537302380544;1725049940878279098;ssusantisusan92;https://twitter.com/ssusantisusan92/status/1725049940878279098
