created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Nov 10 15:36:39 +0000 2023;1723001730672087061;"KELISTRIKAN IKN NUSANTARA Green, Smart &amp  Beautiful https://t.co/jdxSLNzOxL";0;0;0;0;in;1676023896;1723001730672087061;GinaKarlina2022;https://twitter.com/GinaKarlina2022/status/1723001730672087061
Fri Nov 10 15:32:01 +0000 2023;1723000567289589881;"@BlueNeo81 Kota ku";0;0;0;1;in;1519307015721349121;1722917052015689935;Muhamma70893310;https://twitter.com/Muhamma70893310/status/1723000567289589881
Fri Nov 10 15:18:43 +0000 2023;1722997220264353856;"@kumparan Contoh negara2 agearis mcm Vietnam,dll.bangun perkuat agro dulu,pertanian baru pertahanan dll.Bukan digadai ke China kyk IKN😑";0;0;0;0;in;1545365267139555328;1722133160451059765;malikacupang;https://twitter.com/malikacupang/status/1722997220264353856
Fri Nov 10 15:23:34 +0000 2023;1722998439519146089;"@bana_cotta @deeswast @detikcom Si ibu salah kamar... Ini bukan investasi tapi sumbangan rakyat Indo. Masalah invest di  Indo Timur itu tanyain ke @jokowi kenapa IKN bgtu penting buat dia...";0;0;0;0;in;4436663774;1722917010324275384;ronin4711;https://twitter.com/ronin4711/status/1722998439519146089
Fri Nov 10 15:17:34 +0000 2023;1722996930400108873;"Ikan Kakap Ikan Teri Dimakan dengan sambal terasi IKN berkonsep Forest City Ramah lingkungan hijau dan asri";0;2;0;0;in;15288805;1722996362092888122;sjifa;https://twitter.com/sjifa/status/1722996930400108873
Fri Nov 10 15:17:07 +0000 2023;1722996816621211803;"Basa-basi Pemerintah soal Setop Investor Asing ke IKN https://t.co/D1AaIYmOJa";0;0;0;0;in;485385284;1722996816621211803;ronavioleta;https://twitter.com/ronavioleta/status/1722996816621211803
Fri Nov 10 15:14:38 +0000 2023;1722996192303358197;"Makan GRATIS program @prabowo hingga 450 T setara dengan pembangunan IKN..  #GibranCawapresIlegal #paktelur https://t.co/YhscENs3eL";0;0;0;0;in;984110618021052416;1722996192303358197;HaleyLuhooo;https://twitter.com/HaleyLuhooo/status/1722996192303358197
Fri Nov 10 15:10:03 +0000 2023;1722995039322669163;"Presiden Jokowi letakan batu pertama pembangunan kantor BPJS ketenagakerjaan di IKN https://t.co/wl0e91yhYe";0;0;0;0;in;1564491751339225088;1722995039322669163;GraceKeana;https://twitter.com/GraceKeana/status/1722995039322669163
Fri Nov 10 15:09:51 +0000 2023;1722994987321675959;"Presiden Jokowi letakan batu pertama pembangunan kantor BPJS ketenagakerjaan di IKN https://t.co/QfFZq3wGbF";0;0;0;0;in;1564460689615638529;1722994987321675959;DavinaDeema;https://twitter.com/DavinaDeema/status/1722994987321675959
Fri Nov 10 15:09:41 +0000 2023;1722994946758590754;"Ryeowook ke bandung, ini gaada yg mau tiba2 ke ikn atau bpp gtu? 🥲";0;0;0;0;in;509820318;1722994946758590754;wonyeppeo;https://twitter.com/wonyeppeo/status/1722994946758590754
Fri Nov 10 15:06:26 +0000 2023;1722994130270277717;"BPJS Ketenagakerjaan di IKN diresmikan oleh Pak Jokowi https://t.co/GeebhsHqTy";0;0;0;0;in;1619974610853982209;1722994130270277717;IndikatorMesin;https://twitter.com/IndikatorMesin/status/1722994130270277717
Fri Nov 10 15:05:32 +0000 2023;1722993902456639624;"IKN Nusantara Berkonsep Hijau, Indah dan Cerdas ! #IKNNusantara https://t.co/enSymFJmUv";0;0;0;0;in;110961384;1722993902456639624;Dhev_angga;https://twitter.com/Dhev_angga/status/1722993902456639624
Fri Nov 10 15:04:21 +0000 2023;1722993605105557543;"Kelistrikan IKN Nusantara Green, smart and beautiful https://t.co/ptD7O78n8N";0;0;0;0;in;1619974610853982209;1722993605105557543;IndikatorMesin;https://twitter.com/IndikatorMesin/status/1722993605105557543
