created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Nov 13 04:33:04 +0000 2023;1723921898080498006;"@coffebigwin Konteks twit ulun, sebatas pembahasan antar bubuhan komunitas motor, kada jua bicara mewakili semua penduduk..  pian lahir di samarinda tapi menolak IKN kah?";0;2;0;0;in;200391170;1723858229262971242;a7ibayu;https://twitter.com/a7ibayu/status/1723921898080498006
Sun Nov 12 10:47:13 +0000 2023;1723653668057321731;"@mynameprada Mau bilang "karena Ganjar menolak keberlanjutan IKN", gak mungkin juga kayaknya.";0;0;0;0;in;1259033406333059073;1723617450208764118;ekky1995;https://twitter.com/ekky1995/status/1723653668057321731
Sat Nov 11 06:15:18 +0000 2023;1723222850038100405;"@ganjarpranowo mau tidak pa @ganjarpranowo menolak IKN .... ibu kota tetap di jakarta tdk akan pernah dipindahkan ....";0;0;0;0;in;61191010;1723206832536305889;greysandharimau;https://twitter.com/greysandharimau/status/1723222850038100405
Fri Nov 10 23:39:00 +0000 2023;1723123118498017508;"Alasan PKS Tetap Menolak IKN Nusantara, Mardani Ali Sera Akui Fraksinya Sendirian di DPR  #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #DPR #PKS  https://t.co/WbV7vqj36x lewat @tribunkaltim";0;0;0;0;in;103551225;1723123118498017508;tribunkaltim;https://twitter.com/tribunkaltim/status/1723123118498017508
Fri Nov 10 08:10:17 +0000 2023;1722889399716008109;"Alasan PKS Tetap Menolak IKN Nusantara, Mardani Ali Sera Akui Fraksinya Sendirian di DPR  #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #DPR #PKS  https://t.co/WbV7vqjAW5 lewat @tribunkaltim";0;0;0;0;in;103551225;1722889399716008109;tribunkaltim;https://twitter.com/tribunkaltim/status/1722889399716008109
Wed Nov 08 02:10:15 +0000 2023;1722074018352931300;"Dulu Lantang Menolak Tapi Sekarang Fahri Hamzah Dukung IKN! https://t.co/MVsixk744X";0;0;0;0;in;1225432911899324419;1722074018352931300;RepelitaO;https://twitter.com/RepelitaO/status/1722074018352931300
Tue Nov 07 12:45:06 +0000 2023;1721871396371132779;"Semakin memble saja bibir si Fachri ini.Klu projek dibiayai oleh APBN tidak boleh dihentikan. Bgmn klu pejabat sebelumnya salah membuat keputusan.  Dulu Lantang Menolak Tapi Sekarang Fahri Hamzah Dukung IKN! https://t.co/WIAupgYo2m";0;1;0;0;in;1697954238708764672;1721871396371132779;DatukH93926;https://twitter.com/DatukH93926/status/1721871396371132779
Tue Nov 07 00:58:16 +0000 2023;1721693515837833336;"@destyawana @Reymondist_ @commiepupps Tapi ini bisa jadi blunder buat anies kalo mbahas IKN, krn IKN itu proyek nasional yg sdh berjalan dan sdh habisin uang negara besar dan bakal mubazir klo dibatalkan. Makany, kalo skrg menolak IKN trs pas jd presiden malah dilanjutin proyeknya ntar malah dibilang gak konsisten.";0;0;0;0;in;278352681;1721448957661048907;adeantiko;https://twitter.com/adeantiko/status/1721693515837833336
Mon Nov 06 22:50:21 +0000 2023;1721661326395891988;"Dulu Lantang Menolak Tapi Sekarang Fahri Hamzah Dukung IKN   🔻 https://t.co/bjIJ3FoDE6 https://t.co/biITeCmRY7";1;0;0;0;in;1271082715689836546;1721661326395891988;dutaMasarya;https://twitter.com/dutaMasarya/status/1721661326395891988
Mon Nov 06 22:02:43 +0000 2023;1721649336780558597;"Dulu Lantang Menolak Tapi Sekarang Fahri Hamzah Dukung IKN! https://t.co/Dh05jwM3JY https://t.co/Dh05jwM3JY";0;0;0;0;in;1636627729675337734;1721649336780558597;posaktualcom;https://twitter.com/posaktualcom/status/1721649336780558597
Mon Nov 06 16:14:48 +0000 2023;1721561779917279706;"Dulu Lantang Menolak Tapi Sekarang Fahri Hamzah Dukung IKN! https://t.co/F6MhmPzBZh";9;71;31;54;in;887743587579944960;1721561779917279706;OposisiCerdas;https://twitter.com/OposisiCerdas/status/1721561779917279706
Mon Nov 06 16:03:51 +0000 2023;1721559024762577100;"Dulu Lantang Menolak Tapi Sekarang Fahri Hamzah Dukung IKN! https://t.co/Tguou3VgYc";0;0;0;0;in;1592886017446793218;1721559024762577100;polhukamid_;https://twitter.com/polhukamid_/status/1721559024762577100
Mon Nov 06 16:02:13 +0000 2023;1721558614970630282;"Dulu Lantang Menolak Tapi Sekarang Fahri Hamzah Dukung IKN! https://t.co/acdMM4eMRn";0;0;0;0;in;1466815910518263808;1721558614970630282;idtodaycoid;https://twitter.com/idtodaycoid/status/1721558614970630282
Mon Nov 06 16:02:12 +0000 2023;1721558610126225513;"Dulu Lantang Menolak Tapi Sekarang Fahri Hamzah Dukung IKN! https://t.co/PbkURJMNyp";0;0;0;0;in;1662344532627976192;1721558610126225513;geloradotnews;https://twitter.com/geloradotnews/status/1721558610126225513
Mon Nov 06 15:55:47 +0000 2023;1721556997773140207;"Dulu Lantang Menolak Tapi Sekarang Fahri Hamzah Dukung IKN! https://t.co/DSRdOaNff0";26;258;49;130;in;3319260420;1721556997773140207;geloraco;https://twitter.com/geloraco/status/1721556997773140207
Mon Nov 06 14:45:33 +0000 2023;1721539320258150450;"@agusset17657260 @Fahrihamzah Tidak semua warga negara indonesia setuju IKN, fahami itu ya.. Yang punya akal sehat dan berwawasan pasti akan menolak IKN. sebutkan satu saja,apa manfaatnya untuk negeri ini ??";0;0;0;0;in;1668922888085475328;1721230125642244143;sincierityoflov;https://twitter.com/sincierityoflov/status/1721539320258150450
Mon Nov 06 05:58:54 +0000 2023;1721406787453346292;"Memang Anies dan gerbongnya tidak mau melanjutkan IKN kan. Kalo jadi presiden, bisa jadi IKN dimangkrakkan.  Fraksi PKS itu satu-satunya partai yang menolak pengesahan revisi UU IKN.";0;0;0;0;in;19009612;1721406787453346292;adigunap;https://twitter.com/adigunap/status/1721406787453346292
Sun Nov 05 22:49:53 +0000 2023;1721298818061455572;"@msaid_didu 1.giliran udah jadi proyek, teriak duit rakyat,malah minta dilanjut trus proyeknya,waktu rakyat menolak/minta pembangunan IKN ditunda dg alasan kondisi uang APBN yg msh hrs biaya hal proritas dibanding IKN, gak pada denger diem2 bae";0;0;0;2;in;1710041300077326336;1721285165362917800;GoInt2045;https://twitter.com/GoInt2045/status/1721298818061455572
Sun Nov 05 18:52:01 +0000 2023;1721238960280658381;"@papa_loren @PKSejahtera Keputusan PKS menolak IKN merupakan kebenaran yang menyelamatkan bangsa &amp  negeri ini dari keserakahan oligarki !! Jangan hancurkan negri ini hanya karna kerakusan ataupun penghianatan..!?";0;0;0;0;in;1463889063165923332;1721035496879747308;DeniadeputraAde;https://twitter.com/DeniadeputraAde/status/1721238960280658381
Sun Nov 05 11:28:57 +0000 2023;1721127456084726236;"@papa_loren Maaf. Saya rasa wajar kalau FPKS di DPR  menolak IKN sendirian(?)  Apa tidak merasa kalau ide2nya tetap berkutet di kandang sendiri?";0;0;0;0;in;1308942381559865346;1721035496879747308;Adangska1;https://twitter.com/Adangska1/status/1721127456084726236
Sun Nov 05 10:30:05 +0000 2023;1721112644290293868;"@papa_loren @PKSejahtera @PKSejahtera tidak sendiri tapi rakyat juga menolak IKN, proyek tidak berguna dan hanya menghamburkan uang negara untuk pencitraan pribadi Jokowi semata !";0;0;1;1;in;1616209097254375425;1721035496879747308;SsPasadena;https://twitter.com/SsPasadena/status/1721112644290293868
Sat Nov 04 07:18:50 +0000 2023;1720702127612526959;"PKS memiliki pandangan untuk menolak karena konsep IKN meniadakan tidak adanya kelembagaan DPRD dan hal ini bertentangan dengan pasal 18 ayat 3 UUD 1945. PKS juga memandang pentingnya memperhatikan hak atas masyarakat adat dalam pembangunan IKN. 👍😎👉PKS! https://t.co/o8CwQVEboE";0;1;24;26;in;1028124533201371136;1720702127612526959;MMargani5;https://twitter.com/MMargani5/status/1720702127612526959
Sat Nov 04 05:52:48 +0000 2023;1720680474673299627;"@RagilSemar @FPKSDPRRI @PKSejahtera menolak  IKN @NasDem &amp  @DPP_PKB mendukung IKN Gimmicknya : Perubahan";0;0;0;0;in;118082519;1720436263088734657;lapen_melon;https://twitter.com/lapen_melon/status/1720680474673299627
Sat Nov 04 02:57:38 +0000 2023;1720636392152383646;"@peter_hari @__AnakKolong @AbankTho2 @WagimanDeep212_ @ulinyusron @ekokuntadhi1 Jangan pilih capres 1.  Tidak bisa mengentaskan kemiskinan  2. Hanya sebagai robot 3. Tidak melanjutkan  IKN 4. Minim prestasi 5. Pernah berperkara korupsi 6. Menolak piala dunia  7 suka pornografi";0;0;0;0;in;1640277024119091200;1720084338149319102;kawulane01;https://twitter.com/kawulane01/status/1720636392152383646
Sat Nov 04 00:59:25 +0000 2023;1720606643551871447;"@RagilSemar @FPKSDPRRI GPP sendirian yg pent utk ke baikkn...  fakta nya se bgn besar rkyt ind MENOLAK PROYEK IKN  aplg duit dr utang , smtr kemis kinan mkin meroket";0;0;0;0;in;1714852840123052032;1720436263088734657;inisialAaq16976;https://twitter.com/inisialAaq16976/status/1720606643551871447
Fri Nov 03 22:21:28 +0000 2023;1720566894686871873;"@Detektifbelged1 @kompascom Siapapun yg jadi tak akan ada yg berani menolak terhadap IKN yg sudah terlanjur nyebur dana trilyunan justru mereka pada ngiler saling ingin menguasai Krn kedepan justru IKN akan jadi lahan basah...";0;0;0;0;in;710064727;1720432776258998708;KangMas2012;https://twitter.com/KangMas2012/status/1720566894686871873
Fri Nov 03 22:19:05 +0000 2023;1720566294544785731;"@Rahmah0845 @kompascom Anies gak bakalan berani menolak IKN yg bernilai trilyunan...justru Anies ngiler juga ingin menguasainya munafik kalau dia tidak ngiler....yg ada tetap menjalankan tapi tidak sesuai SOP nya alias menyimpang kayak SBY dg Hambalang";0;0;0;0;in;710064727;1720432776258998708;KangMas2012;https://twitter.com/KangMas2012/status/1720566294544785731
Fri Nov 03 15:42:56 +0000 2023;1720466600338530531;"@milkuenyar @RagilSemar @FPKSDPRRI Partai lain mendukung IKN dan PKS yg menolak dianggap egois? Aneh bgt cara berfikirnya";0;0;0;3;in;1319417731;1720436263088734657;pawangbanteng;https://twitter.com/pawangbanteng/status/1720466600338530531
Fri Nov 03 13:57:58 +0000 2023;1720440182682661279;"@Rahmah0845 @kompascom dgn risiko Presiden kena Hak Angket di DPR krn menolak jalanin amanat UU IKN? risiko politik yg berat bahkan bisa dimakzulkan klo dalam prosesnya Presiden dinyatakan bersalah.";0;1;0;1;in;217376888;1720432776258998708;p4piKRiS;https://twitter.com/p4piKRiS/status/1720440182682661279
Fri Nov 03 13:42:23 +0000 2023;1720436263088734657;"Di gedung parlemen memang sendirian  Coba kita cek di X-land.  Siapa yang bersama PKS @FPKSDPRRI menolak IKN? Silakan Repost dan Like. 🙏  https://t.co/gRQVKaZDvp";19;46;1467;2724;in;1334070788060631040;1720436263088734657;RagilSemar;https://twitter.com/RagilSemar/status/1720436263088734657
Fri Nov 03 13:28:32 +0000 2023;1720432776258998708;"Anggota Fraksi Partai Keadilan Sejahtera (PKS) DPR, Mardani Ali Sera menyatakan bahwa fraksinya tetap menolak pemindahan Ibu Kota Negara (IKN) dari DKI Jakarta ke Nusantara meskipun sudah ada Undang-Undang (UU) tentang IKN. &lt  #IKN #PKS #IbuKotaNusantara  https://t.co/1f8nPU9V0Q";9;61;8;53;in;23343960;1720432776258998708;kompascom;https://twitter.com/kompascom/status/1720432776258998708
Thu Nov 02 12:38:54 +0000 2023;1720057898267750548;"@na_dirs Jangan lupakan MRT, tol laut, tol2 baru di berbagai daerah, next IKN, 50% saham Freeport &amp  banyak lain pembangunan2 selama 2 periode. SATU HAL LAGI... Mampukah prabowo menolak lock down yg melumpuhkan ekonomi saat pandemi?";0;1;0;0;in;2299360164;1716118242660630646;AgusSumanas;https://twitter.com/AgusSumanas/status/1720057898267750548
Thu Nov 02 08:18:08 +0000 2023;1719992271456841927;"Dan semoga publik selalu ingat bahwa satu2nya fraksi yg menolak pembentukan IKN ini adalah PKS 😌🙏";0;0;21;50;in;141219270;1719992271456841927;inisifani;https://twitter.com/inisifani/status/1719992271456841927
Thu Nov 02 04:37:17 +0000 2023;1719936694722699462;"@kompascom Jebakan china ini awalnya menjebak pejabatnya terlebih dahulu agar ketergantungan dan tidak bisa menolak tawaran, lalu setelah itu memberikan proyek lebih besar dengan jaminan yang akan lebih besar lagi. Mungkin nanti jaminan nya IKN";0;0;0;0;in;174273458;1719732590306119734;davidsam666;https://twitter.com/davidsam666/status/1719936694722699462
Thu Nov 02 03:55:19 +0000 2023;1719926133410627627;"@jokowi Saya usulkan kepada semua pihak berwenang atas pembangunan IKN agar "Semua Nama Orang yang Terlibat dalam Pembangunan IKN dan Semua Nama Orang yang Menolak Pembangunan IKN" diabadikan/diMonumenkan di IKN agar menjadi Pembelajaran bagi Generasi Penerus Bangsa Indonesia kedepan.";0;0;0;0;in;1660956843492143105;1719703172594520521;NizamDriwan;https://twitter.com/NizamDriwan/status/1719926133410627627
Wed Nov 01 11:54:02 +0000 2023;1719684218954166753;"@Srikandi_sunda @Aiek_Speechless @Kimberley_2024 Kalau  partai sejak 2019 masuk PKS. Dan ini satu satunya partai yg menolak di revisinya UU IKN";0;1;0;0;in;843962410419412992;1719672302542148009;Anggitahusain2;https://twitter.com/Anggitahusain2/status/1719684218954166753
Wed Nov 01 03:13:45 +0000 2023;1719553285080969430;"@bucha76 @MarahIchsan Prett, yg sudah terbukti SELALU MENOLAK melanjutkan program Jokowi adalah Anies, sejak di DKI Jakarta hingga kini pun ogah memasukkan IKN dalam visi-misinya, dia boneka proxi Amerika-Eropa";0;0;0;0;in;1447531092441845765;1719543637737132433;MerapiW;https://twitter.com/MerapiW/status/1719553285080969430
Wed Nov 01 00:57:53 +0000 2023;1719519091713847680;"@StefanAntonio__ @psi_id Maju terus biar semakin kelihatan mana yg ada kepentingan menolak keberlanjutan hilirisasi, IKN dan Indonesia Emas 2045 alias Program Jokowi.";0;0;0;0;in;187479358;1719354020891128171;Amangdewa;https://twitter.com/Amangdewa/status/1719519091713847680
Wed Nov 01 00:47:50 +0000 2023;1719516565706821962;"@tvOneNews PKS aja dah yg jelas konsistensinya menolak omnibus law  (UU Cipta kerja, UU Kesehatan), UU IKN.";0;0;0;0;in;88610519;1719505323772563576;fahmibas;https://twitter.com/fahmibas/status/1719516565706821962
Tue Oct 31 17:16:01 +0000 2023;1719402858943270978;"@adisatya @BangPakat Menolak atas dasar apa???  Jelaskan dulu? Tau sejarah ikn dan hilirasi blm??? CRi tau dulu lalu di kompare? Klo kmu bilang ikn hilirasi gk si teruskan gnjar jarna bu ketum itu Nrasi propaganda 😆😆, lalu hasyom yg pro usa kira² gmn,? Negara yg menolak hilirisaai hri ini...";0;0;0;3;in;2782497133;1719194008055132203;mas4bi;https://twitter.com/mas4bi/status/1719402858943270978
Tue Oct 31 10:56:52 +0000 2023;1719307445380723116;"@BangPakat Pertanyaanmya kemudian bang :  Jika untuk sesuatu yg sudah dipersiapkan matang tahunan, Ganjar bs menolak atas perintah ketum, lalu apa jaminannya dia bisa melanjutkan :  IKN Hilirisasi ?   Coba cek kasus Pabrik Es Petojo di Solo : Siapa yg kemudian meloloskan? sahabat sendiri.…";0;3;1;20;in;47331849;1719194008055132203;adisatya;https://twitter.com/adisatya/status/1719307445380723116
Tue Oct 31 00:32:21 +0000 2023;1719150280317821265;"Mana nih suara pendukung Pak Lik wowo yang dulu menolak proyek IKN. Pak Jokowi dituduh antek asing, aseng dll. Jelang Pilpres mereka langsung putar balik 180° mendukung dan mengatakan proyek IKN sebagai proyek masa depan. 🤣  Kalo pendukung Ganjar konsisten, dari dulu mendukung… https://t.co/uh5md5Rqm0";3;16;92;335;in;1101696077147729920;1719150280317821265;03__nakula;https://twitter.com/03__nakula/status/1719150280317821265
Mon Oct 30 14:33:14 +0000 2023;1718999505813786892;"@WagimanDeep212_ Pernah klien pikir.. andai psgan amin menang, psti semuamuanya ga dilanjutkan. Wong partainyaaja menolak. Mulai dr IKN, infrastruktur dll ... warga DKI sudah membuktikan LRT klp gading ..ga dilanjutkan. Codetan Kali ciliwung dan msh banyak. Itu yg dipikirkan pak @jokowi";0;0;0;0;in;1559108577326874626;1718627873609929002;AleinIbrahim;https://twitter.com/AleinIbrahim/status/1718999505813786892
Mon Oct 30 06:23:22 +0000 2023;1718876225907921099;"@susipudjiastuti pertanda...menolak IKN?";0;0;0;1;in;3326599218;1718793513188642834;gandasinaga89;https://twitter.com/gandasinaga89/status/1718876225907921099
Sun Oct 29 23:12:08 +0000 2023;1718767704352657496;"@__AnakKolong @jokowi isu terbaru dari tetangga sebelah yg kemungkinan besar hoax adalah Ada Capres yg menolak kelanjutan IKN,ingin menyetop hilirisasi migas lho??? Ngga bahaya ta?";0;0;0;1;in;193623463;1718552535118893547;Sgrdamai;https://twitter.com/Sgrdamai/status/1718767704352657496
Sun Oct 29 14:46:14 +0000 2023;1718640392206508386;"@tempodotco Krn tidak mncantumkn, mngandung arti tidak menganggap IKN penting, tp dari sisi politik tak mau menyatakan menolak karena satu dan lain hal,” ujar dia saat dihubungi Tempo pada Jumat, 27 Oktober 2023..kan waktu yg akan mmbuktihkan semua itu min(jk menang).pointnya ngk mmbebek😁";0;0;0;0;in;1286557775670042625;1718522325333918140;Fadlipenyair;https://twitter.com/Fadlipenyair/status/1718640392206508386
Sat Oct 28 08:40:30 +0000 2023;1718185960931004563;"@wahyonoisnaeni1 @bentangnegeri tak kasih tahu biar melek politik. selama ini pdip itu sll memback up kebijakan /legacy presiden,jokowi, di DPR, contoh terkait IKN itu yg menolak jelas PD dan PKS, seandainya saja pdip waktu itu juga menolak maka apa yg terjadi IKN akan gagal. blm kebijakan yg lain.";0;1;0;0;in;1317787738423193601;1718160728430174695;bapakbagus4;https://twitter.com/bapakbagus4/status/1718185960931004563
